,subject,color,gi,mi,status,bp,wp,response,rt
0,0.0,0,0,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,22,1.957
1,15.01,1,0,1,playing,000000000000000000000010000000000000,000000000000000000000000000000000000,33,0.0
2,0.0,0,0,2,playing,000000000000000000000010000000000000,000000000000000000000000000000000100,21,14.533
3,15.01,1,0,3,playing,000000000000000000000110000000000000,000000000000000000000000000000000100,23,0.0
4,0.0,0,0,4,playing,000000000000000000000110000000000000,000000000000000000000001000000000100,13,6.979
5,15.01,1,0,5,playing,000000000000010000000110000000000000,000000000000000000000001000000000100,31,0.0
6,0.0,0,0,6,playing,000000000000010000000110000000000000,000000000000000000000001000000010100,32,6.455
7,15.01,1,0,7,playing,000000000000010000000110000000001000,000000000000000000000001000000010100,12,0.0
8,0.0,0,0,8,playing,000000000000010000000110000000001000,000000000000100000000001000000010100,5,11.855
9,15.01,1,0,9,playing,000001000000010000000110000000001000,000000000000100000000001000000010100,29,0.0
10,0.0,0,0,10,playing,000001000000010000000110000000001000,000000000000100000000001000001010100,14,6.563
11,15.01,1,0,11,playing,000001000000011000000110000000001000,000000000000100000000001000001010100,25,0.0
12,0.0,0,0,12,playing,000001000000011000000110000000001000,000000000000100000000001010001010100,24,17.545
13,15.01,1,0,13,playing,000001000000011000000110100000001000,000000000000100000000001010001010100,16,0.0
14,0.0,0,0,14,playing,000001000000011000000110100000001000,000000000000100010000001010001010100,7,10.279
15,15.01,1,0,15,playing,000001010000011000000110100000001000,000000000000100010000001010001010100,4,0.0
16,0.0,0,0,16,playing,000001010000011000000110100000001000,000010000000100010000001010001010100,20,1.843
17,15.01,1,0,17,playing,000001010000011000001110100000001000,000010000000100010000001010001010100,19,0.0
18,0.0,0,0,18,playing,000001010000011000001110100000001000,000010000000100010010001010001010100,6,2.846
19,15.01,1,0,19,playing,000001110000011000001110100000001000,000010000000100010010001010001010100,28,0.0
20,0.0,0,0,20,win,000001110000011000001110100000001000,000010000000100010010001010011010100,30,1.581
21,0.01,0,1,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,30,0.0
22,0.0,1,1,1,playing,000000000000000000000000000000100000,000000000000000000000000000000000000,13,1.202
23,0.01,0,1,2,playing,000000000000000000000000000000100000,000000000000010000000000000000000000,31,0.0
24,0.0,1,1,3,playing,000000000000000000000000000000110000,000000000000010000000000000000000000,32,1.091
25,0.01,0,1,4,playing,000000000000000000000000000000110000,000000000000010000000000000000001000,23,0.0
26,0.0,1,1,5,playing,000000000000000000000001000000110000,000000000000010000000000000000001000,15,2.527
27,0.01,0,1,6,playing,000000000000000000000001000000110000,000000000000010100000000000000001000,12,0.0
28,0.0,1,1,7,playing,000000000000100000000001000000110000,000000000000010100000000000000001000,21,1.217
29,0.01,0,1,8,playing,000000000000100000000001000000110000,000000000000010100000100000000001000,29,0.0
30,0.0,1,1,9,playing,000000000000100000000001000001110000,000000000000010100000100000000001000,28,1.411
31,0.01,0,1,10,playing,000000000000100000000001000001110000,000000000000010100000100000010001000,11,0.0
32,0.0,1,1,11,playing,000000000001100000000001000001110000,000000000000010100000100000010001000,10,6.774
33,0.01,0,1,12,playing,000000000001100000000001000001110000,000000000010010100000100000010001000,14,0.0
